Q01 Output

+---------------+--------------+---------+---------+---------------+
| festival_year | bank_account | credit  | debit   | total_revenue |
+---------------+--------------+---------+---------+---------------+
|          2000 |      1020.00 | 1620.00 | 2360.00 |       5000.00 |
|          2001 |       840.00 | 1250.00 | 2310.00 |       4400.00 |
|          2002 |      2090.00 | 1110.00 | 1110.00 |       4310.00 |
|          2003 |      1080.00 | 2710.00 | 1420.00 |       5210.00 |
|          2004 |      1480.00 | 1160.00 | 1650.00 |       4290.00 |
|          2005 |      1040.00 | 2170.00 | 1290.00 |       4500.00 |
|          2006 |      1200.00 | 2090.00 | 1200.00 |       4490.00 |
|          2007 |       810.00 | 1110.00 | 1540.00 |       3460.00 |
|          2008 |      1460.00 | 1380.00 | 1730.00 |       4570.00 |
|          2009 |      1150.00 | 1560.00 | 1250.00 |       3960.00 |
|          2010 |      2190.00 | 2690.00 | 1760.00 |       6640.00 |
|          2011 |      1240.00 |  820.00 | 1240.00 |       3300.00 |
|          2012 |      1210.00 | 1390.00 |  940.00 |       3540.00 |
|          2013 |      1630.00 | 2420.00 | 2440.00 |       6490.00 |
|          2014 |      1200.00 | 1750.00 | 1440.00 |       4390.00 |
|          2015 |       980.00 | 2230.00 | 2380.00 |       5590.00 |
|          2016 |       570.00 | 1280.00 | 1210.00 |       3060.00 |
|          2017 |      1910.00 | 1060.00 | 1930.00 |       4900.00 |
|          2018 |      1740.00 |  830.00 | 1210.00 |       3780.00 |
|          2019 |      1840.00 | 1430.00 | 1460.00 |       4730.00 |
|          2020 |      1100.00 | 2290.00 | 2460.00 |       5850.00 |
|          2021 |      4720.00 | 7910.00 | 6530.00 |      19160.00 |
|          2022 |      7620.00 | 7260.00 | 7290.00 |      22170.00 |
|          2023 |      5540.00 | 5970.00 | 6370.00 |      17880.00 |
|          2024 |      5570.00 | 5900.00 | 5290.00 |      16760.00 |
|          2025 |      5440.00 | 6330.00 | 6860.00 |      18630.00 |
|          2026 |      7490.00 | 6880.00 | 6830.00 |      21200.00 |
|          2027 |      8520.00 | 8560.00 | 7940.00 |      25020.00 |
|          2028 |      5780.00 | 9220.00 | 7270.00 |      22270.00 |
|          2029 |      6380.00 | 9040.00 | 7500.00 |      22920.00 |
+---------------+--------------+---------+---------+---------------+
