Q12 Output.

event_date|role_name |total_staff|
----------+----------+-----------+
2000-06-15|security  |         12|
2000-06-15|support   |          6|
2000-06-15|technician|          3|
2000-06-16|security  |         12|
2000-06-16|support   |          6|
2000-06-16|technician|          3|
2000-06-17|security  |         12|
2000-06-17|support   |          6|
2000-06-17|technician|          3|
2001-06-15|security  |         12|
2001-06-15|support   |          6|
2001-06-15|technician|          3|
2001-06-16|security  |         12|
2001-06-16|support   |          6|
2001-06-16|technician|          3|
2001-06-17|security  |         12|
2001-06-17|support   |          6|
2001-06-17|technician|          3|
2002-06-15|security  |         14|
2002-06-15|support   |          6|
2002-06-15|technician|          3|
2002-06-16|security  |         14|
2002-06-16|support   |          6|
2002-06-16|technician|          3|
2002-06-17|security  |         14|
2002-06-17|support   |          6|
2002-06-17|technician|          3|
2003-06-15|security  |         10|
2003-06-15|support   |          6|
2003-06-15|technician|          3|
2003-06-16|security  |         10|
2003-06-16|support   |          6|
2003-06-16|technician|          3|
2003-06-17|security  |         10|
2003-06-17|support   |          6|
2003-06-17|technician|          3|
2004-06-15|security  |         12|
2004-06-15|support   |          6|
2004-06-15|technician|          3|
2004-06-16|security  |         12|
2004-06-16|support   |          6|
2004-06-16|technician|          3|
2004-06-17|security  |         12|
2004-06-17|support   |          6|
2004-06-17|technician|          3|
2005-06-15|security  |         11|
2005-06-15|support   |          5|
2005-06-15|technician|          3|
2005-06-16|security  |         11|
2005-06-16|support   |          5|
2005-06-16|technician|          3|
2005-06-17|security  |         11|
2005-06-17|support   |          5|
2005-06-17|technician|          3|
2006-06-15|security  |          8|
2006-06-15|support   |          5|
2006-06-15|technician|          3|
2006-06-16|security  |          8|
2006-06-16|support   |          5|
2006-06-16|technician|          3|
2006-06-17|security  |          8|
2006-06-17|support   |          5|
2006-06-17|technician|          3|
2007-06-15|security  |         12|
2007-06-15|support   |          6|
2007-06-15|technician|          3|
2007-06-16|security  |         12|
2007-06-16|support   |          6|
2007-06-16|technician|          3|
2007-06-17|security  |         12|
2007-06-17|support   |          6|
2007-06-17|technician|          3|
2008-06-15|security  |         11|
2008-06-15|support   |          6|
2008-06-15|technician|          3|
2008-06-16|security  |         11|
2008-06-16|support   |          6|
2008-06-16|technician|          3|
2008-06-17|security  |         11|
2008-06-17|support   |          6|
2008-06-17|technician|          3|
2009-06-15|security  |         13|
2009-06-15|support   |          6|
2009-06-15|technician|          3|
2009-06-16|security  |         13|
2009-06-16|support   |          6|
2009-06-16|technician|          3|
2009-06-17|security  |         13|
2009-06-17|support   |          6|
2009-06-17|technician|          3|
2010-06-15|security  |         12|
2010-06-15|support   |          6|
2010-06-15|technician|          3|
2010-06-16|security  |         12|
2010-06-16|support   |          6|
2010-06-16|technician|          3|
